repo_name,commit_num,commit,code_slice,ground_truth,prediction
Crypton,4,a6ae5,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,4,a6ae5,NEW@<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,Undetermined,Undetermined
Crypton,4,a6ae5,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,5,a6e55,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,5,a6e55,NEW@<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,Undetermined,Undetermined
Crypton,5,a6e55,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,5,a6e55,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,5,a6e55,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,6,adaad,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,6,adaad,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,6,adaad,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,6,adaad,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,6,adaad,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,7,cf803,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,7,cf803,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,7,cf803,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,7,cf803,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,7,cf803,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,8,f7bfe,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,8,f7bfe,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,8,f7bfe,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,8,f7bfe,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,8,f7bfe,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,9,74124,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,9,74124,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,9,74124,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,9,74124,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,9,74124,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,10,edbeb,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,10,edbeb,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,10,edbeb,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,10,edbeb,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,10,edbeb,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,NEW@<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,Benign,Benign
Crypton,11,90c88,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,11,90c88,NEW@<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,Full Attack Chain,Full Attack Chain
Crypton,12,80afd,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,12,80afd,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,13,93f9b,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,Core Attack Chain,Core Attack Chain
Crypton,13,93f9b,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,13,93f9b,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,14,4ffc1,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,14,4ffc1,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_CNVService.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,14,4ffc1,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,15,87f2b,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,15,87f2b,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_CNVService.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,15,87f2b,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,16,c7285,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_CNVService.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,16,c7285,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,17,47ce4,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,17,47ce4,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_CNVService.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,17,47ce4,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-1_encrypt.py_slice.py,Undetermined,Undetermined
Crypton,17,47ce4,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-2_encrypt.py_slice.py,Undetermined,Undetermined
Crypton,18,de8a1,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,18,de8a1,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-0_encrypt.py_slice.py,Undetermined,Undetermined
Crypton,18,de8a1,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,NEW@<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,18,de8a1,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_CNVService.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,18,de8a1,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-1_encrypt.py_slice.py,Benign,Benign
Crypton,18,de8a1,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@Block-Cipher_Attack-ECB-Byte-at-a-Time_Challenges_baby_crypt_baby_crypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@RSA-encryption_Factorisation-Fermat_Challenges_Crafted-RSA_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-4_encrypt.py_slice.py,Full Attack Chain,Full Attack Chain
Crypton,19,e5f4c,<module>@RSA-encryption_Attack-Wiener_Challenges_Multi_Layer_RSA_Multi_LayerRSAencrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@RSA-encryption_Intro-Challenges_Challenge-2_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@Block-Cipher_Attack-CBC-Padding-Oracle_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,NEW@<body>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,Undetermined,Undetermined
Crypton,19,e5f4c,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_CNVService_AES_CNV_COOKIE.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@RSA-encryption_Attack-Coppersmith_Challenges_stereotypes_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,NEW@<module>@RSA-encryption_Intro-Challenges_Challenge-3_encrypt.py_slice.py,Undetermined,Undetermined
Crypton,19,e5f4c,<module>@Block-Cipher_Attack-CBC-Bit-Flipping_Challenges_Secret_Server_secretserver-03f9e1472f1088fcf5571d3288e759e3.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@RSA-encryption_Factorisation-Fermat_Challenges_qproximity_exploit.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
Crypton,19,e5f4c,<module>@RSA-encryption_Intro-Challenges_Challenge-0_encrypt.py_slice.py,SAME AS BEFORE,SAME AS BEFORE
